id,school,zh,city,usNews,qs,nobel,costUG,admitUG,cdsC7Status,cdsC7Year,cdsC7Source,costStatus,admitStatus,nobelStatus,tuitionSource,nobelSource,scorecardSource
"columbia","Columbia","哥伦比亚大学","New York, NY","14","38","16","89000","9.8","pending-official-cds","待核验","https://www.google.com/search?q=Columbia%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Columbia%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Columbia%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Columbia"
"berkeley","UC Berkeley","加州大学伯克利分校","Berkeley, CA","15","12","26","68000","10.3","pending-official-cds","待核验","https://www.google.com/search?q=UC%20Berkeley%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UC%20Berkeley%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UC%20Berkeley%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UC%20Berkeley"
"ucla","UCLA","加州大学洛杉矶分校","Los Angeles, CA","16","42","8","68000","9.8","pending-official-cds","待核验","https://www.google.com/search?q=UCLA%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UCLA%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UCLA%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UCLA"
"rice","Rice","莱斯大学","Houston, TX","17","119","3","86000","10.6","pending-official-cds","待核验","https://www.google.com/search?q=Rice%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Rice%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Rice%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Rice"
"vanderbilt","Vanderbilt","范德堡大学","Nashville, TN","18","248","2","86000","11.4","pending-official-cds","待核验","https://www.google.com/search?q=Vanderbilt%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Vanderbilt%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Vanderbilt%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Vanderbilt"
"dartmouth","Dartmouth","达特茅斯学院","Hanover, NH","19","237","3","82000","12.2","pending-official-cds","待核验","https://www.google.com/search?q=Dartmouth%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Dartmouth%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Dartmouth%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Dartmouth"
"notre-dame","Notre Dame","圣母大学","Notre Dame, IN","20","304","1","82000","13","pending-official-cds","待核验","https://www.google.com/search?q=Notre%20Dame%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Notre%20Dame%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Notre%20Dame%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Notre%20Dame"
"umich","Michigan","密歇根大学安娜堡分校","Ann Arbor, MI","21","45","2","61000","13.8","pending-official-cds","待核验","https://www.google.com/search?q=Michigan%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Michigan%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Michigan%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Michigan"
"georgetown","Georgetown","乔治城大学","Washington, DC","22","301","2","88000","14.6","pending-official-cds","待核验","https://www.google.com/search?q=Georgetown%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Georgetown%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Georgetown%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Georgetown"
"unc","UNC Chapel Hill","北卡罗来纳大学教堂山分校","Chapel Hill, NC","23","132","2","61000","15.4","pending-official-cds","待核验","https://www.google.com/search?q=UNC%20Chapel%20Hill%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UNC%20Chapel%20Hill%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UNC%20Chapel%20Hill%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UNC%20Chapel%20Hill"
"emory","Emory","埃默里大学","Atlanta, GA","24","196","0","85000","16.2","pending-official-cds","待核验","https://www.google.com/search?q=Emory%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Emory%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Emory%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Emory"
"uva","Virginia","弗吉尼亚大学","Charlottesville, VA","25","297","0","61000","17","pending-official-cds","待核验","https://www.google.com/search?q=Virginia%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Virginia%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Virginia%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Virginia"
"wustl","WashU","圣路易斯华盛顿大学","St. Louis, MO","26","176","4","85000","17.8","pending-official-cds","待核验","https://www.google.com/search?q=WashU%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=WashU%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=WashU%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=WashU"
"ucsd","UC San Diego","加州大学圣迭戈分校","San Diego, CA","27","66","16","67000","18.6","pending-official-cds","待核验","https://www.google.com/search?q=UC%20San%20Diego%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UC%20San%20Diego%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UC%20San%20Diego%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UC%20San%20Diego"
"usc","USC","南加州大学","Los Angeles, CA","28","125","6","88000","19.4","pending-official-cds","待核验","https://www.google.com/search?q=USC%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=USC%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=USC%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=USC"
"uc-davis","UC Davis","加州大学戴维斯分校","Davis, CA","29","117","2","60000","20.2","pending-official-cds","待核验","https://www.google.com/search?q=UC%20Davis%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UC%20Davis%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UC%20Davis%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UC%20Davis"
"uc-irvine","UC Irvine","加州大学欧文分校","Irvine, CA","30","307","3","66000","21","pending-official-cds","待核验","https://www.google.com/search?q=UC%20Irvine%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UC%20Irvine%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UC%20Irvine%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UC%20Irvine"
"florida","Florida","佛罗里达大学","Gainesville, FL","31","215","2","60000","21.8","pending-official-cds","待核验","https://www.google.com/search?q=Florida%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Florida%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Florida%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Florida"
"cmu","Carnegie Mellon","卡内基梅隆大学","Pittsburgh, PA","32","52","20","84000","22.6","pending-official-cds","待核验","https://www.google.com/search?q=Carnegie%20Mellon%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Carnegie%20Mellon%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Carnegie%20Mellon%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Carnegie%20Mellon"
"uiuc","UIUC","伊利诺伊大学香槟分校","Champaign, IL","33","69","11","60000","23.4","pending-official-cds","待核验","https://www.google.com/search?q=UIUC%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UIUC%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UIUC%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UIUC"
"nyu","NYU","纽约大学","New York, NY","34","50","5","87000","24.2","pending-official-cds","待核验","https://www.google.com/search?q=NYU%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=NYU%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=NYU%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=NYU"
"ut-austin","UT Austin","德州大学奥斯汀分校","Austin, TX","35","68","13","63000","25","pending-official-cds","待核验","https://www.google.com/search?q=UT%20Austin%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UT%20Austin%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UT%20Austin%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UT%20Austin"
"ga-tech","Georgia Tech","佐治亚理工学院","Atlanta, GA","36","97","0","63000","25.8","pending-official-cds","待核验","https://www.google.com/search?q=Georgia%20Tech%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Georgia%20Tech%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Georgia%20Tech%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Georgia%20Tech"
"bc","Boston College","波士顿学院","Chestnut Hill, MA","37","631","0","80000","26.6","pending-official-cds","待核验","https://www.google.com/search?q=Boston%20College%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Boston%20College%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Boston%20College%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Boston%20College"
"tufts","Tufts","塔夫茨大学","Medford, MA","38","344","0","80000","27.4","pending-official-cds","待核验","https://www.google.com/search?q=Tufts%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Tufts%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Tufts%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Tufts"
"wake","Wake Forest","维克森林大学","Winston-Salem, NC","39","741","0","80000","28.2","pending-official-cds","待核验","https://www.google.com/search?q=Wake%20Forest%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Wake%20Forest%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Wake%20Forest%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Wake%20Forest"
"rochester","Rochester","罗切斯特大学","Rochester, NY","40","224","8","80000","29","pending-official-cds","待核验","https://www.google.com/search?q=Rochester%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Rochester%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Rochester%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Rochester"
"bu","Boston University","波士顿大学","Boston, MA","41","108","8","86000","29.1","pending-official-cds","待核验","https://www.google.com/search?q=Boston%20University%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Boston%20University%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Boston%20University%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Boston%20University"
"rutgers","Rutgers-New Brunswick","罗格斯大学新布朗斯维克分校","New Brunswick, NJ","42","299","3","58000","30.2","pending-official-cds","待核验","https://www.google.com/search?q=Rutgers-New%20Brunswick%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Rutgers-New%20Brunswick%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Rutgers-New%20Brunswick%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Rutgers-New%20Brunswick"
"ohio-state","Ohio State","俄亥俄州立大学","Columbus, OH","43","208","0","58000","31.3","pending-official-cds","待核验","https://www.google.com/search?q=Ohio%20State%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Ohio%20State%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Ohio%20State%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Ohio%20State"
"purdue","Purdue","普渡大学","West Lafayette, IN","44","89","3","58000","32.4","pending-official-cds","待核验","https://www.google.com/search?q=Purdue%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Purdue%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Purdue%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Purdue"
"maryland","Maryland","马里兰大学帕克分校","College Park, MD","45","218","3","58000","33.5","pending-official-cds","待核验","https://www.google.com/search?q=Maryland%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Maryland%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Maryland%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Maryland"
"lehigh","Lehigh","里海大学","Bethlehem, PA","46","701","0","79000","34.6","pending-official-cds","待核验","https://www.google.com/search?q=Lehigh%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Lehigh%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Lehigh%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Lehigh"
"uga","Georgia","佐治亚大学","Athens, GA","47","601","0","58000","35.7","pending-official-cds","待核验","https://www.google.com/search?q=Georgia%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Georgia%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Georgia%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Georgia"
"uw-madison","Wisconsin-Madison","威斯康星大学麦迪逊分校","Madison, WI","48","102","20","58000","36.8","pending-official-cds","待核验","https://www.google.com/search?q=Wisconsin-Madison%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Wisconsin-Madison%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Wisconsin-Madison%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Wisconsin-Madison"
"case","Case Western","凯斯西储大学","Cleveland, OH","49","259","16","82000","37.9","pending-official-cds","待核验","https://www.google.com/search?q=Case%20Western%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Case%20Western%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Case%20Western%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Case%20Western"
"texas-am","Texas A&M","德州农工大学","College Station, TX","50","134","0","58000","39","pending-official-cds","待核验","https://www.google.com/search?q=Texas%20A%26M%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Texas%20A%26M%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Texas%20A%26M%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Texas%20A%26M"
"vt","Virginia Tech","弗吉尼亚理工","Blacksburg, VA","51","389","0","57000","40.1","pending-official-cds","待核验","https://www.google.com/search?q=Virginia%20Tech%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Virginia%20Tech%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Virginia%20Tech%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Virginia%20Tech"
"fsu","Florida State","佛罗里达州立大学","Tallahassee, FL","52","573","0","57000","41.2","pending-official-cds","待核验","https://www.google.com/search?q=Florida%20State%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Florida%20State%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Florida%20State%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Florida%20State"
"northeastern","Northeastern","东北大学","Boston, MA","53","375","0","85000","42.3","pending-official-cds","待核验","https://www.google.com/search?q=Northeastern%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Northeastern%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Northeastern%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Northeastern"
"minnesota","Minnesota Twin Cities","明尼苏达大学双城分校","Minneapolis, MN","54","195","26","61000","43.4","pending-official-cds","待核验","https://www.google.com/search?q=Minnesota%20Twin%20Cities%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Minnesota%20Twin%20Cities%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Minnesota%20Twin%20Cities%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Minnesota%20Twin%20Cities"
"william-mary","William & Mary","威廉玛丽学院","Williamsburg, VA","55","901","0","57000","44.5","pending-official-cds","待核验","https://www.google.com/search?q=William%20%26%20Mary%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=William%20%26%20Mary%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=William%20%26%20Mary%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=William%20%26%20Mary"
